codigo,tipo_propiedad,tipo_operacion,precio_venta,area,habitaciones,banos,administracion,parqueaderos,sector,estrato,antiguedad,latitud,longitud,estado,precio_arriendo,jacuzzi,chimenea,permite_mascotas,gimnasio,ascensor,conjunto_cerrado,piscina,salon_comunal,terraza,vigilancia,coords_modified,localidad,barrio,estacion_tm_cercana,distancia_estacion_tm_m,is_cerca_estacion_tm,parque_cercano,distancia_parque_m,is_cerca_parque,precio_metro_cuadrado_venta,precio_metro_cuadrado_arriendo,ratio_parqueaderos_habitaciones,ratio_habitaciones_banos,ratio_precio_venta_administracion,ratio_precio_arriendo_administracion,ratio_habitaciones_area,distance_to_nearest_juan_valdez,count_near_juan_valdez
2999877,CASA CON CONJUNTO CERRADO,VENTA,19.86,87.0,3.0,2.0,272000.0,1.0,BRITALIA,3,ENTRE 10 Y 20 ANOS,4.75,-74.05,,,0,0,0,0,0,1,0,0,0,0,False,SUBA,BRITALIA - EL TIBON ALBACETE,Toberin - Foundever,671.16,0,PARQUE VECINAL DESARROLLO CANTALEJO URBANIZACIÓN CANTALEJO MANZANA B,774.55,0,0.23,,0.33,1.5,0.0,,0.03,1829.59,0.0
3050979,APARTAMENTO,VENTA,19.49,55.0,2.0,2.0,199000.0,1.0,BRITALIA,4,ENTRE 10 Y 20 ANOS,4.74,-74.06,,,0,0,0,1,0,1,0,0,0,0,False,SUBA,GILMAR II,Calle 161,1470.47,0,PARQUE VECINAL DESARROLLO CANTALEJO URBANIZACIÓN CANTALEJO MANZANA B,405.68,1,0.35,,0.5,1.0,0.0,,0.04,1315.01,0.0
3449872,APARTAMENTO,VENTA,19.68,78.0,3.0,2.0,254600.0,1.0,SUBA,3,ENTRE 10 Y 20 ANOS,4.75,-74.1,,,0,0,0,0,0,1,0,0,0,0,False,SUBA,LOMBARDIA III,Portal Suba,654.12,0,PARQUE VECINAL URBANIZACIÓN VALLE DE REFOUS,717.9,0,0.25,,0.33,1.5,0.0,,0.04,368.26,1.0
3081424,APARTAMENTO,VENTA,19.43,62.0,3.0,2.0,188000.0,1.0,ALAMOS,3,MAS DE 20 ANOS,4.69,-74.11,,,0,0,0,0,0,1,0,0,0,0,False,ENGATIVA,LOS ALAMOS - URB. TORRECAMPO,Portal El Dorado,1359.96,0,PARQUE VECINAL URBANIZACIÓN FLORENCIA I SECTOR,1480.35,0,0.31,,0.33,1.5,0.0,,0.05,731.21,0.0
3145170,APARTAMENTO,VENTA,19.9,86.0,3.0,2.0,666700.0,2.0,LOS CEDROS,5,MAS DE 20 ANOS,4.72,-74.04,,,0,0,0,0,0,0,0,0,0,0,False,USAQUEN,EL CONTADOR,Alcalá,823.67,0,PARQUE VECINAL NUEVA URBANIZACIÓN EL CEDRITO,1210.55,0,0.23,,0.67,1.5,0.0,,0.03,311.25,1.0
2342620,CASA,VENTA,19.92,45.0,4.0,4.0,3921395.93,1.0,GARCES NAVAS,3,MAS DE 20 ANOS,4.71,-74.12,,,0,0,0,0,0,0,0,0,0,0,False,ENGATIVA,VILLAS DE GRANADA,Portal 80,1634.04,0,PARQUE ZONAL VILLAS DE GRANADA,276.15,1,0.44,,0.25,1.0,0.0,,0.09,1425.84,0.0
3210035,APARTAMENTO,VENTA,19.36,63.0,3.0,2.0,336000.0,1.0,SAN CRISTOBAL NORTE,3,MAS DE 20 ANOS,4.73,-74.03,,,0,0,0,0,0,1,0,0,0,0,False,USAQUEN,BARRANCAS PERLAS DEL NORTE,Mazurén,2525.87,0,PARQUE ZONAL ALTA BLANCA,608.68,0,0.31,,0.33,1.5,0.0,,0.05,615.35,0.0
3218614,APARTAMENTO,VENTA,19.9,59.0,2.0,2.0,214400.0,1.0,EL PRADO,3,ENTRE 0 Y 5 ANOS,4.72,-74.06,,,0,0,0,0,0,1,0,0,0,0,False,SUBA,S.C. PRADO VERANIEGO NORTE,Prado,859.9,0,PARQUE ZONAL ATABANZA,966.61,0,0.34,,0.5,1.0,0.0,,0.03,643.24,0.0
2845291,APARTAMENTO,VENTA,19.91,78.0,3.0,2.0,320000.0,1.0,MODELIA,4,MAS DE 20 ANOS,4.66,-74.12,,,0,0,0,0,0,1,0,0,0,0,False,FONTIBON,LA ESPERANZA_,Normandía,984.95,0,PARQUE ZONAL CANAL BOYACA,225.72,1,0.26,,0.33,1.5,0.0,,0.04,366.98,1.0
2676086,APARTAMENTO,VENTA,19.78,85.0,2.0,2.0,556000.0,1.0,NIZA,5,MAS DE 20 ANOS,4.73,-74.07,,,0,0,0,0,0,1,0,0,0,0,False,SUBA,URB. COLINA NORTE II ETAPA,Gratamira,1085.58,0,PARQUE VECINAL PRADO PINZÓN,1263.04,0,0.23,,0.5,1.0,0.0,,0.02,298.23,2.0
2233389,APARTAMENTO,VENTA,19.61,61.0,2.0,2.0,461000.0,1.0,USAQUEN,5,MAS DE 20 ANOS,4.71,-74.03,,,0,0,0,0,0,1,0,0,0,0,False,USAQUEN,BELLA SUIZA,Calle 127,2413.33,0,PARQUE METROPOLITANO EL COUNTRY,692.9,0,0.32,,0.5,1.0,0.0,,0.03,465.42,1.0
2834276,APARTAMENTO,VENTA,19.02,52.0,2.0,2.0,72700.0,0.0,VERBENAL,3,ENTRE 10 Y 20 ANOS,4.76,-74.04,,,0,0,0,0,0,1,0,0,0,0,False,USAQUEN,SAN JOSE DE USAQUEN - URB. ARGO,Calle 187,1072.79,0,PARQUE VECINAL URBANIZACIÓN CALLE 170 / ALAMEDA,407.99,1,0.37,,0.0,1.0,0.0,,0.04,1138.93,0.0
2268104,APARTAMENTO,VENTA,19.96,88.0,3.0,2.0,327000.0,2.0,LA FLORESTA,4,ENTRE 10 Y 20 ANOS,4.7,-74.09,,,0,0,0,0,0,1,0,0,1,0,False,SUBA,URB. BOSQUE DE LOS LAGARTOS,Minuto de Dios,719.19,0,PARQUE METROPOLITANO CEFE COMETAS,1253.34,0,0.23,,0.67,1.5,0.0,,0.03,713.73,0.0
3034884,APARTAMENTO,VENTA,19.96,89.0,2.0,3.0,601000.0,2.0,NIZA,6,MAS DE 20 ANOS,4.72,-74.08,,,0,0,0,0,0,1,0,0,0,0,False,SUBA,S.C. NIZA SUBA,Suba - AV. Boyacá,292.44,1,PARQUE VECINAL AGRUPACIÓN DE VIVIENDA EN BALCON DE LINDARAJA,628.47,0,0.22,,1.0,0.67,0.0,,0.02,986.42,0.0
2834736,APARTAMENTO,VENTA,19.49,73.0,3.0,2.0,50000.0,1.0,VERBENAL,3,ENTRE 10 Y 20 ANOS,4.76,-74.03,,,0,0,0,0,0,1,0,0,0,0,False,USAQUEN,VILLAS DE ANDALUCIA,Calle 187,1292.57,0,PARQUE VECINAL URBANIZACIÓN CALLE 170 / ALAMEDA,560.15,0,0.27,,0.33,1.5,0.0,,0.04,1155.15,0.0
